,no,url,title,platform,title_en,score,label
0,0,https://finance.detik.com/berita-ekonomi-bisnis/d-7659219/jubir-luhut-berikan-penjelasan-soal-ppn-naik-jadi-12-mau-diundur,Jubir Luhut Berikan Penjelasan soal PPN Naik Jadi 12% Mau Diundur,detik.com,Luhut's spokesperson provides an explanation regarding the VAT increase to 12% which will be postponed,0.0,1
1,1,https://finance.detik.com/detiktv/d-7659190/video-luhut-sebut-pajak-12-diundur,Video Luhut Sebut Pajak 12% Diundur,detik.com,Luhut's video says the 12% tax has been postponed,0.0,1
2,2,https://finance.detik.com/berita-ekonomi-bisnis/d-7658764/luhut-sebut-ppn-naik-jadi-12-bakal-diundur,Luhut Sebut PPN Naik Jadi 12% Bakal Diundur!,detik.com,Luhut Says VAT Increase to 12% Will Be Postponed!,0.0,1
3,3,https://finance.detik.com/berita-ekonomi-bisnis/d-7658290/pengusaha-dipanggil-kemenkeu-bahas-ppn-naik-jadi-12,Pengusaha Dipanggil Kemenkeu Bahas PPN Naik Jadi 12%,detik.com,Entrepreneurs Summoned by Ministry of Finance to Discuss VAT Increase to 12%,0.0,1
4,4,https://finance.detik.com/ekonomi-bisnis/d-7658127/airlangga-sri-mulyani-kompak-ogah-respons-penolakan-ppn-naik-jadi-12,Airlangga & Sri Mulyani Kompak Ogah Respons Penolakan PPN Naik Jadi 12%,detik.com,Airlangga and Sri Mulyani Compact Refuse to Respond to Rejection of VAT Increase to 12%,0.0,1
5,5,https://finance.detik.com/berita-ekonomi-bisnis/d-7657574/ppn-mau-naik-jadi-12-pemerintah-bakal-guyur-bansos,"PPN Mau Naik Jadi 12%, Pemerintah Bakal Guyur Bansos?",detik.com,"Will VAT be increased to 12%, will the government provide social assistance?",0.03333333333333333,1
6,6,https://finance.detik.com/berita-ekonomi-bisnis/d-7657301/buku-kategori-ini-bakal-kena-ppn,Buku Kategori Ini Bakal Kena PPN,detik.com,This category of books will be subject to VAT,-0.16666666666666666,0
7,7,https://finance.detik.com/berita-ekonomi-bisnis/d-7656939/ppn-bakal-naik-jadi-12-pengusaha-angkutan-penyeberangan-teriak,"PPN Bakal Naik Jadi 12%, Pengusaha Angkutan Penyeberangan Teriak",detik.com,"VAT Will Increase to 12%, Ferry Transport Entrepreneurs Shout",0.0,1
8,8,https://oto.detik.com/mobil/d-7656857/ppn-naik-12-ini-daftar-pajak-beli-mobil-baru-total-hampir-setengah-harga-mobil,"PPN Naik 12%: Ini Daftar Pajak Beli Mobil Baru, Total Hampir Setengah Harga Mobil!",detik.com,"VAT Increases 12%: This is the Tax List for Buying a New Car, Totaling Almost Half the Price of the Car!",-0.03598484848484848,0
9,9,https://www.detik.com/properti/berita/d-7656526/keluh-kesah-pengembang-ppn-naik-jadi-12,Keluh Kesah Pengembang PPN Naik Jadi 12%,detik.com,Developers Complaints: VAT Increases to 12%,0.0,1
10,10,https://www.detik.com/sumut/bisnis/d-7656714/daftar-20-negara-yang-bebas-ppn,Daftar 20 Negara yang Bebas PPN,detik.com,List of 20 Countries that are VAT Free,0.4,1
11,11,https://finance.detik.com/berita-ekonomi-bisnis/d-7656405/pengusaha-tolak-keras-ppn-naik-jadi-12-biaya-proyek-bisa-bengkak,Pengusaha Tolak Keras PPN Naik Jadi 12%: Biaya Proyek Bisa Bengkak,detik.com,Entrepreneurs Strongly Reject VAT Increase to 12%: Project Costs Could Swell,0.43333333333333335,1
12,12,https://finance.detik.com/detiktv/d-7656444/video-daftar-negara-bebas-ppn-salah-satunya-ada-myanmar,"Video: Daftar Negara Bebas PPN, Salah Satunya Ada Myanmar",detik.com,"Video: List of VAT-Free Countries, One of which is Myanmar",0.0,1
13,13,https://www.detik.com/properti/berita/d-7655993/pengembang-curiga-bakal-ada-yang-ambil-untung-saat-ppn-naik-jadi-12,Pengembang Curiga Bakal Ada yang Ambil Untung saat PPN Naik Jadi 12%,detik.com,Developers Suspect Someone Will Take Profit When VAT Rises to 12%,0.0,1
14,14,https://www.detik.com/properti/berita/d-7655930/ppn-12-di-tahun-2025-siap-siap-harga-rumah-melambung,"PPN 12% di Tahun 2025, Siap-siap Harga Rumah Melambung",detik.com,"12% VAT in 2025, get ready for house prices to soar",0.2,1
15,15,https://www.detik.com/properti/berita/d-7655622/pengembang-mengeluh-berat-bangun-rumah-kalau-ppn-12,Pengembang Mengeluh Berat Bangun Rumah Kalau PPN 12%,detik.com,Developers Complain It's Hard to Build a House if VAT is 12%,-0.2916666666666667,0
16,16,https://finance.detik.com/berita-ekonomi-bisnis/d-7655703/pengusaha-minta-ppn-12-dikaji-ulang-bikin-ongkos-produksi-mamin-bengkak,"Pengusaha Minta PPN 12% Dikaji Ulang, Bikin Ongkos Produksi Mamin Bengkak",detik.com,"Entrepreneurs Ask for 12% VAT to be Reviewed, Making Mamin Production Costs Swell",0.0,1
17,17,https://oto.detik.com/mobil/d-7655137/ppn-naik-jadi-12-harga-mobil-bisa-melonjak-5,"PPN Naik Jadi 12%, Harga Mobil Bisa Melonjak 5%",detik.com,"VAT Increases to 12%, Car Prices Could Jump 5%",0.0,1
18,18,https://oto.detik.com/mobil/d-7655052/ppn-jadi-12-penjualan-mobil-tahun-depan-bakal-berat,"PPN Jadi 12%, Penjualan Mobil Tahun Depan Bakal Berat",detik.com,"VAT becomes 12%, car sales next year will be tough",-0.19444444444444445,0
19,19,https://oto.detik.com/berita/d-7653887/harga-mobil-bakal-terimbas-kenaikan-ppn-12-mobil-rp-200-jutaan-naik-segini,"Harga Mobil Bakal Terimbas Kenaikan PPN 12%, Mobil Rp 200 Jutaan Naik Segini",detik.com,"Car prices will be affected by 12% VAT increase, Rp. 200 million cars will increase by this much",0.2,1
20,20,https://travel.detik.com/travel-news/d-7652849/ppn-naik-sewa-hotel-juga-naik,"PPN Naik, Sewa Hotel Juga Naik",detik.com,"VAT Increases, Hotel Rentals Also Increase",0.0,1
21,21,https://finance.detik.com/berita-ekonomi-bisnis/d-7652341/ppn-naik-12-bakal-bikin-pedagang-tanah-abang-makin-terpuruk,PPN Naik 12% Bakal Bikin Pedagang Tanah Abang Makin Terpuruk,detik.com,A 12% VAT increase will make Tanah Abang traders worse off,-0.4,0
22,22,https://finance.detik.com/berita-ekonomi-bisnis/d-7651829/ppn-naik-jadi-12-barang-di-pasar-tanah-abang-bisa-jadi-semahal-ini,"PPN Naik Jadi 12%, Barang di Pasar Tanah Abang Bisa Jadi Semahal Ini",detik.com,"VAT Increases to 12%, Goods at Tanah Abang Market Could Be This Expensive",-0.5,0
23,23,https://travel.detik.com/travel-news/d-7651734/kebijakan-ppn-12-bisa-mencekik-wisatawan-ini-5-saran-dari-pakar,"Kebijakan PPN 12% Bisa 'Mencekik' Wisatawan, Ini 5 Saran dari Pakar",detik.com,"12% VAT policy could 'suffocate' tourists, here are 5 suggestions from experts",0.0,1
24,24,https://finance.detik.com/berita-ekonomi-bisnis/d-7651584/sudah-separah-ini-kondisi-pedagang-tanah-abang-sebelum-ppn-naik-jadi-12,Sudah Separah Ini Kondisi Pedagang Tanah Abang Sebelum PPN Naik Jadi 12%,detik.com,The condition of Tanah Abang traders was already this bad before VAT rose to 12%,-0.04999999999999993,0
